,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,3672.91,5255.16,2829.70,8084.86,4404.10,3680.76,0,0
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,1074.69,1537.65,827.97,2365.62,1288.63,1076.99,0,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,522.19,747.14,402.31,1149.45,626.15,523.30,0,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,35842.40,15845.74,8532.32,24558.70,13377.96,11180.74,180.64,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,22432.51,9917.30,5340.08,15370.43,8372.80,6997.63,113.05,0
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,11632.83,5142.81,2769.21,7970.64,4341.88,3628.75,58.62,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,11245.48,4971.57,2677.00,7705.24,4197.31,3507.93,56.67,0
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,11073.36,4895.47,2636.02,7587.30,4133.06,3454.24,55.80,0
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,7960.13,3519.13,1894.92,5454.16,2971.07,2483.09,40.11,0
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,5738.28,2536.86,1366.00,3931.80,2141.78,1790.02,28.93,0
0xdedb11a6a23263469567c2881a9b9f8629ee0041000000000000000000000669,mainnet,svETH/wstETH,5572.41,2463.53,1326.52,3818.13,2079.87,1738.26,28.08,0
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,4026.72,1780.19,958.56,2759.05,1502.95,1256.11,20.29,0
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,3993.09,1765.32,950.56,2736.00,1490.39,1245.61,20.12,0
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,3991.52,1764.63,950.19,2734.94,1489.81,1245.13,20.12,0
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,3799.04,1679.54,904.37,2603.05,1417.97,1185.08,19.15,0
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,3680.14,1626.97,876.06,2521.58,1373.59,1147.99,18.55,0
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,3478.44,1537.80,828.05,2383.37,1298.30,1085.07,17.52,0
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,1809.45,799.95,430.74,1239.81,675.37,564.44,9.12,0
0xd3f8ab9c5928fdf53153e7757131ad7815fe3146000000000000000000000661,mainnet,vETH/wstETH,1403.03,620.27,333.99,961.33,523.67,437.66,7.07,0
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,1307.16,577.89,311.17,895.65,484.30,411.35,6.59,0
0xb3b675a9a3cb0df8f66caf08549371bfb76a9867000200000000000000000611,mainnet,ECLP-mevETH-wETH,837.56,370.28,199.38,573.89,0,573.89,4.23,0
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,797.61,352.62,189.87,546.51,0,546.51,4.02,0
0x40c806394d03d350420d13cd7d1de1c806f349560000000000000000000005f5,mainnet,qETH/WETH,760.89,336.39,181.13,521.36,281.91,239.45,3.84,0
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,745.34,329.51,177.43,510.70,0,510.70,3.76,0
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,698.32,308.72,166.24,0,0,0,-474.96,0
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,218.72,96.69,52.07,0,0,0,-148.76,0
